UMD_VEG_LC,ENF=0,EBF=1,DNF=2,DBF=3,MF=4,CShrub=5,OShrub=6,WSavannas=7,Savannas=8,  Grass=9,Crop=10
LUEmax(KgC/m^2/d/MJ),0.001211,0.001405,0.001227,0.001526,0.001226,0.001495,0.001027,0.001498,0.001454,0.001215,0.0013
Tmin_min(C),-8,-8,-8,-6,-7,-8,-8,-8,-8,-8,-8
Tmin_max(C),8.31,9.09,10.44,9.94,9.5,8.61,8.8,11.39,11.39,12.02,12.02
VPD_min(Pa),650,1000,650,650,650,650,650,650,650,650,650
VPD_max(Pa),3000,4000,3500,2900,2900,4300,4400,3500,3600,4200,4500
SLA(LAI/KgC),15,26.9,16.9,24.7,22.6,9.4,12,28.8,28.9,38,38
Q10_livewood(unitless),2,2,2,2,2,2,2,2,2,2,2
Q10_froot(unitless),2,2,2,2,2,2,2,2,2,2,2
froot_leaf_ratio,1.2,1.1,1.7,1.1,1.1,1,1.3,1.8,1.8,2.6,2
livewood_leaf_ratio,0.182,0.162,0.165,0.203,0.203,0.079,0.04,0.091,0.051,0,0
leaf_mr_base(Kgc/KgC/d),0.00604,0.00604,0.00815,0.00778,0.00778,0.00869,0.00519,0.00869,0.00869,0.0098,0.0098
froot_mr_base(Kgc/KgC/d),0.00519,0.00519,0.00519,0.00519,0.00519,0.00519,0.00519,0.00519,0.00519,0.00819,0.00819
livewood_mr_base(Kgc/KgC/d),0.00397,0.00397,0.00397,0.00371,0.00371,0.00436,0.00218,0.00312,0.001,0,0
